x,y,Street Address,Postcode,Charge Type
394127,806442,UPPERKIRKGATE,AB10 1BA,Free
394127,806442,UPPERKIRKGATE,AB10 1BA,Free
394127,806442,UPPERKIRKGATE,AB10 1BA,Free
394127,806442,UPPERKIRKGATE,AB10 1BA,Free
394127,806442,UPPERKIRKGATE,AB10 1BA,Free
394169,806326,St Nicholas Street,AB10 1BU,Free
394157,806265,A ST NICHOLAS STREET,AB10 1HE,Free
394157,806265,A ST NICHOLAS STREET,AB10 1HE,Free
394157,806265,A ST NICHOLAS STREET,AB10 1HE,Free
394157,806265,A St Nicholas Street,AB10 1HE,Free
394157,806265,A St Nicholas Street,AB10 1HE,Free
394157,806265,A St Nicholas Street,AB10 1HE,Free
394157,806265,A St Nicholas Street,AB10 1HE,Free
394157,806265,A St Nicholas Street,AB10 1HE,Free
394158,806233,UNION STREET,AB10 1HH,Free
394158,806233,UNION STREET,AB10 1HH,Free
394158,806233,UNION STREET,AB10 1HH,Free
394158,806233,UNION STREET,AB10 1HH,Free
394158,806233,UNION STREET,AB10 1HH,Free
394169,806326,Sain Aberdeen St Nicholas,AB10 1HW,Free
394012,806216,THE ACADEMY,AB10 1JG,Free
393702,806039,Union Street,AB10 1QS,Free
393474,806105,Gaming Area Summer Street,AB10 1SJ,Surcharging
393542,805923,UNION STREET,AB10 1TP,Free
393362,805822,Union Street,AB10 1TS,Free
394204,806259,UNION STREET,AB10 1WD,Free
394204,806259,UNION STREET,AB10 1WD,Free
394204,806259,UNION STREET,AB10 1WD,Free
394204,806259,UNION STREET,AB10 1WD,Free
394204,806259,UNION STREET,AB10 1WD,Free
394204,806259,UNION STREET,AB10 1WD,Free
394204,806259,UNION STREET,AB10 1WD,Free
394233,806269,UNION STREET,AB10 1WR,Free
394233,806269,UNION STREET,AB10 1WR,Free
394233,806269,UNION STREET,AB10 1WR,Free
392566,805761,ALBYN PLACE,AB10 1YN,Free
392566,805761,ALBYN PLACE,AB10 1YN,Free
392566,805761,ALBYN PLACE,AB10 1YN,Free
392566,805761,ALBYN PLACE,AB10 1YN,Free
392566,805761,ALBYN PLACE,AB10 1YN,Free
392566,805761,ALBYN PLACE,AB10 1YN,Free
393283,805699,HOLBURN STREET,AB10 6BT,Free
393181,805336,Holburn Street,AB10 6DA,Free
391906,804575,Great Western Road,AB10 6NN,Free
391691,804391,GREAT WESTERN ROAD,AB10 6PA,Free
392531,805457,ST SWITHIN STREET,AB10 6XL,Free
392554,803254,GARTHDEE ROAD,AB10 7AY,Free
391506,803344,GAITSIDE DRIVE,AB10 7BJ,Surcharging
391830,803612,Ramsay Crescent,AB10 7BL,Free
393141,804951,HOLBURN STREET,AB10 7FP,Free
392627,803750,Garth Dee Road,AB10 7QA,Free
392627,803750,Garth Dee Road,AB10 7QA,Free
392627,803750,GARTH DEE ROAD,AB10 7QA,Free
394495,806340,Castle Street,AB11 5BB,Surcharging
394392,806274,EXCHEQUER ROW,AB11 5BW,Free
394392,806274,EXCHEQUER ROW,AB11 5BW,Free
394285,805946,GUILD SQUARE,AB11 5RG,Free
394285,805946,GUILD SQUARE,AB11 5RG,Free
394285,805946,GUILD SQUARE,AB11 5RG,Free
394285,805946,GUILD SQUARE,AB11 5RG,Free
394247,805168,North Esplanade West,AB11 5RN,Free
393860,806033,UNION STREET,AB11 6BB,Free
393860,806033,UNION STREET,AB11 6BB,Free
393860,806033,UNION STREET,AB11 6BB,Free
394161,806194,Union Street,AB11 6BD,Free
394161,806194,Union Street,AB11 6BD,Free
394161,806194,Union Street,AB11 6BD,Free
394161,806194,Union Street,AB11 6BD,Free
394008,806055,Union Street,AB11 6BE,Free
394008,806055,UNION STREET,AB11 6BE,Free
394062,806141,Union Street,AB11 6BH,Free
394062,806141,Union Street,AB11 6BH,Free
394062,806141,Union Street,AB11 6BH,Free
393813,805978,CROWN STREET,AB11 6HB,Free
393984,805656,CROWN STREET,AB11 6HP,Free
394121,805921,Guild Stret,AB11 6LX,Free
393931,806076,/ UNION STREET,AB11 6SL,Free
393931,806076,Union Street,AB11 6SL,Free
393931,806076,Union Street,AB11 6SL,Free
393931,806076,Union Street,AB11 6SL,Free
393931,806076,/ UNION STREET,AB11 6SL,Free
393897,806048,UNION STREET,AB11 6WT,Free
393897,806048,UNION STREET,AB11 6WT,Free
393897,806048,UNION STREET,AB11 6WT,Free
393897,806048,UNION STREET,AB11 6WT,Free
394039,805239,Bank Street,AB11 7TA,Free
393665,804751,Brunswick Place,AB11 7TF,Free
394845,805050,Grampian Road,AB11 8EB,Free
